region_id;parent_id;regionname;cityname;code;stat;timezone;active;lat;lon;en_regionname;en_cityname;es_regionname;es_cityname;de_regionname;de_cityname;it_regionname;it_cityname;fr_regionname;fr_cityname
4521;268;;Старый Самбор;;0.000000;Europe/Uzhgorod;0;49.443000;23.003000;Stary Sambor;;Staryi Sambir;;Staryj Sambir;;Staryj Sambir;;Staryï Sambir;
433;8;;Старый Оскол;;0.000504;Europe/Moscow;1;51.306988;37.855313;Stary Oskol;;Stari Oskol;;Stary Oskol;;Staryj Oskol;;Stary Oskol;
2525;120;;Староюрьево;;0.000000;Europe/Moscow;0;53.319588;40.698505;Staroyuryevo;;Staroyuryevo;;Starojurjewo;;Staroyuryevo;;Staroyuryevo;
2871;53;;Старощербиновская;;0.000000;Europe/Moscow;0;46.629829;38.666735;Staroshcherbinovskaya;;Staroshcherbinóvskaya;;Staroschtscherbinowskaja;;Staroshcherbinovskaya;;Starochtcherbinovskaïa;
3257;32;;Староуткинск;;0.000000;Asia/Yekaterinburg;0;57.227185;59.337849;Staroutkinsk;;Staroutkinsk;;Staroutkinsk;;Staroutkinsk;;Staroutkinsk;
2746;134;;Старосубхангулово;;0.000000;Asia/Yekaterinburg;0;53.097008;57.432417;Starosubkhangulovo;;Starosubkhangulovo;;Starosubchangulowo;;Starosubkhangulovo;;Starosubkhangulovo;
2870;53;;Староминская;;0.000000;Europe/Moscow;0;46.530884;39.053422;Starominskaya;;Starominskaya;;Starominskaja;;Starominskaya;;Starominskaïa;
4708;278;;Староконстантинов;;0.000000;Europe/Kiev;0;49.752970;27.214040;Starokostyantyniv;;Starokonstantinov;;Starokostjantyniw;;Starokostjantyniv;;Starokostiantyniv;
3916;105;;Старожилово;;0.000000;Europe/Moscow;0;54.222480;39.910543;Starozhilovo;;Starozhilovo;;Staroschilowo;;Starozhilovo;;Starojilovo;
3984;108;;Старое Шайгово;;0.000000;Europe/Moscow;0;54.306124;44.478962;Staroye Shaygovo;;Staroye Shaigovo;;Staroje Schaigowo;;Staroe Shaigovo;;Staroïe Chaigovo;
3329;42;;Старое Дрожжаное;;0.000000;Europe/Moscow;0;54.724384;47.554902;Staroye Drozhzhanoye;;Staroye Drozhzhanoye;;Staroje Droschschanoje;;Staroye Drozhzhanoye;;Staroïe Drojjanoïe;
3053;13;;Стародуб;;0.000000;Europe/Moscow;0;52.583185;32.762003;Starodub;;Starodub;;Starodub;;Starodub;;Starodoub;
4331;260;;Старобешево;;0.000000;Europe/Zaporozhye;0;47.750000;38.033000;Starobesheve;;Starobésheve;;Starobeschewe;;Starobesheve;;Starobecheve;
4498;267;;Старобельск;;0.000000;Europe/Zaporozhye;0;49.283000;38.916000;Starobilsk;;Starobilsk;;Starobilsk;;Starobilsk;;Starobilsk;
2745;134;;Старобалтачево;;0.000000;Asia/Yekaterinburg;0;56.002501;55.924695;Starobaltachevo;;Starobaltachevo;;Starobaltatschewo;;Starobaltačevo;;Starobaltachevo;
2975;7;;Староалейское;;0.000000;Asia/Barnaul;0;51.007713;82.007495;Staroaleyskoye;;Staroaleyskoye;;Staroaleiskoje;;Staroaleyskoye;;Staroaleïskoïe;
2572;123;;Старица;;0.000000;Europe/Moscow;0;56.502205;34.932396;Sparitsa;;Stáritsa;;Stariza;;Sparitsa;;Staritsa;
4707;278;;Старая Синява;;0.000000;Europe/Kiev;0;49.595000;27.623000;Stara Syniava;;Stara Synyavka;;Stara Synjawa;;Stara Syniava;;Stara Synyavka;
542;14;;Старая Русса;;0.000000;Europe/Moscow;0;57.992505;31.354320;Staraya Russa;;Stáraya Rusa;;Staraja Russa;;Staraja Russa;;Staraïa Roussa;
3143;21;;Старая Полтавка;;0.000000;Europe/Volgograd;0;50.483152;46.477896;Staraya Poltavka;;Staraya Poltavka;;Staraja Poltawka;;Staraja Poltavka;;Staraïa Poltavka;
2685;130;;Старая Майна;;0.000000;Europe/Ulyanovsk;0;54.604644;48.925600;Staraya Mayna;;Staraya Mayna;;Staraja Maina;;Staraja Maina;;Staraïa Maïna;
2699;70;;Старая Купавна;;0.000000;Europe/Moscow;0;55.810928;38.177375;Staraya Kupavna;;Staraya Kupavna;;Staraja Kupawna;;Staraja Kupavna;;Staraïa Koupavna;
2684;130;;Старая Кулатка;;0.000000;Europe/Ulyanovsk;0;52.729717;47.620090;Staraya Kulatka;;Staraya Kulatka;;Staraja Kulatka;;Staraja Kulatka;;Staraïa Koulatka;
4271;258;;Старая Выжевка;;0.000000;Europe/Uzhgorod;0;51.440000;24.431000;Stara Vyzhivka;;Stara Vyzhivka;;Stara Wyschiwka;;Stara Vyživka;;Stara Vyjivka;
3597;58;;Становое;;0.000000;Europe/Moscow;0;52.758483;38.325673;Stanovoye;;Stanovoi;;Stanowoje;;Stanovoye;;Stanovoïe;
4497;267;;Станично-Луганское;;0.000000;Europe/Zaporozhye;0;48.666000;39.466000;Stanychno-Luhanske;;Stanychno-Luhanske;;Stanyzja Luhanska;;Stanychno-Luhanske;;Stanytchno-Louhanske;
2142;76;;Стамбул;;0.000000;Europe/Istanbul;0;41.012821;28.964773;Istanbul;;Estambul;;Istanbul;;Istanbul;;Istanbul;
114;188;Ставропольский край;Ставрополь;;0.002818;Europe/Moscow;1;45.041315;41.974151;Stavropol;Stavropol Krai;Stávropol;Krai de Stávropol;Stawropol;Region Stawropol;Stavropol';Territorio di Stavropol';Stavropol;Kraï de Stavropol
4431;265;;Ставище;;0.000000;Europe/Kiev;0;49.391000;30.171000;Stavysche;;Stavysche;;Stawyschtsche;;Stavyshche;;Stavistche;
2406;144;;Сретенск;;0.000000;Asia/Chita;0;52.244093;117.698711;Sretensk;;Sretensk;;Sretensk;;Sretensk;;Sretensk;
